id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
39683,At the Gates of Loyang,2009,460,7.02678,7.35188,11572,0,,,,,,317,,,3.1154,8.9,12.4,2.2,1.85
250458,Gùgōng,2018,461,7.02622,7.42296,9464,0,,,,,,303,,,3.0808,11.6929,11.6929,2.79528,4.04107
234,Hannibal: Rome vs. Carthage,1996,462,7.02604,7.7769,5046,0,,,,,,,,23,3.4541,12.0079,10.0394,2.75591,3.74786
284742,Honey Buzz,2020,463,7.02584,7.51002,8179,0,,,,99,,322,,,2.7124,10.51,10.51,2.4,3.338
319910,Pagan: Fate of Roanoke,2022,464,7.02522,7.91554,4312,0,,15,,,,261,,,3.0353,10.2362,10.2362,2.28346,2.79767
9217,Saint Petersburg,2004,465,7.02308,7.26665,16426,0,,,,,,337,,,2.4324,7,10,2,1
322708,Descent: Legends of the Dark,2021,466,7.02105,7.9093,5595,0,,,,,,,70,,2.697,11.6929,11.6929,10.3543,8.4437
318182,Imperium: Legends,2021,467,7.02051,7.84733,4663,0,,,,,,259,,,3.7551,7.4,11.9,3.1,2.7
15987,Arkham Horror,2005,468,7.01924,7.23812,40209,0,,,,,,,157,,3.585,11.7,11.7,2.8,4.40925
101721,Mage Wars Arena,2012,469,7.01803,7.5684,7984,0,,17,,,,,,,3.6827,12.7,16.7,3.5,6.3
206480,Imperial Struggle,2020,471,7.01664,8.23717,3190,0,,,,,,246,,5,4.0628,9.2,12.2,2.1,4
92415,Skull,2011,472,7.01422,7.17774,27275,0,,,,,34,,,,1.118,5.11811,5.11811,2.16535,0.914918
70323,King of Tokyo,2011,473,7.01389,7.11865,74561,0,,,,140,,,,,1.4853,9.84252,9.84252,2.75591,2.20462
343905,Boonlake,2021,474,7.01321,7.62233,5878,0,,,,,,275,,,3.8,12.5984,8.93701,3.14961,6.14649
